year,pco2 (ppm)
0,284.317
1849,2814.317
1850,284.318604
1851,284.4493661
1852,284.5960016
1853,284.7292754
1854,284.8447244
1855,284.9401713
1856,285.0478433
1857,285.2016953
1858,285.3664664
1859,285.5422046
1860,285.7357238
1861,285.9297348
1862,286.0973201
1863,286.2681883
1864,286.4391721
1865,286.6112338
1866,286.7782886
1867,286.9521473
1868,287.1027625
1869,287.2234371
1870,287.3532192
1871,287.4920398
1872,287.6612568
1873,287.8565877
1874,288.0575231
1875,288.2868103
1876,288.5158019
1877,288.7477401
1878,288.9884472
1879,289.2167925
1880,289.4653386
1881,289.731827
1882,290.013526
1883,290.258286
1884,290.5071968
1885,290.7913182
1886,291.0938893
1887,291.4077697
1888,291.7557832
1889,292.1057284
1890,292.4507951
1891,292.8084241
1892,293.1598562
1893,293.4705549
1894,293.7845155
1895,294.0731521
1896,294.3593334
1897,294.6403556
1898,294.9478274
1899,295.2927761
1900,295.6671237
1901,296.0001584
1902,296.3184199
1903,296.6471485
1904,296.9477878
1905,297.2821006
1906,297.654081
1907,298.0884954
1908,298.5089927
1909,298.9268716
1910,299.3673168
1911,299.8191413
1912,300.3414594
1913,300.8975112
1914,301.4075652
1915,301.9254392
1916,302.4726473
1917,302.9991625
1918,303.4391955
1919,303.8060115
1920,304.2364864
1921,304.5922939
1922,304.9376537
1923,305.2641377
1924,305.6225269
1925,305.8095915
1926,305.9517238
1927,306.1727437
1928,306.3265265
1929,306.492252
1930,306.6182302
1931,306.818482
1932,307.0878311
1933,307.3959682
1934,307.7771018
1935,308.2175019
1936,308.9946135
1937,309.7466765
1938,310.2819375
1939,310.8383792
1940,311.3457611
1941,311.800862
1942,312.1642274
1943,312.3856533
1944,312.4134673
1945,312.3868018
1946,312.3911461
1947,312.4850044
1948,312.5215351
1949,312.6307682
1950,312.8179697
1951,313.0107255
1952,313.3355714
1953,313.7221472
1954,314.0873958
1955,314.4084626
1956,314.6924782
1957,314.9861427
1958,315.3377586
1959,315.7969853
1960,316.6064776
1961,317.283653
1962,318.0269642
1963,318.6362149
1964,319.3173926
1965,319.8049898
1966,320.8552169
1967,321.4657504
1968,322.3677659
1969,323.2307833
1970,324.7474002
1971,325.3852639
1972,327.3024885
1973,329.8475894
1974,330.7352606
1975,330.8248657
1976,331.5278714
1977,333.3093897
1978,334.9700376
1979,336.5660739
1980,338.6544578
1981,340.0254845
1982,340.6292552
1983,342.2270202
1984,343.9663261
1985,345.4235649
1986,346.8678943
1987,348.7294831
1988,351.2149119
1989,352.8544322
1990,354.0435273
1991,355.3214614
1992,356.2069146
1993,356.9076084
1994,358.2219044
1995,360.1918432
1996,361.9616578
1997,363.2215341
1998,365.8689825
1999,367.7978396
2000,369.0933143
2001,370.6351625
2002,372.7824046
2003,375.3472779
2004,376.9481475
2005,378.8590499
2006,380.958368
2007,382.5634798
2008,384.6866777
2009,386.2411383
2010,388.6583561
2011,390.8898055
2012,392.9653383
2013,395.6584636
2014,397.5015534
2015,399.8899929
2016,403.0403583
2017,405.7268861
2018,408.687453
2019,411.7156647
2020,414.8144844
2021,417.9871993
2022,421.2542925
2023,424.6368187
2024,428.1332757
2025,431.739516
2026,435.4563388
2027,439.2822437
2028,443.2179546
2029,447.2583174
2030,451.4107325
2031,455.6731277
2032,460.0558022
2033,464.5683928
2034,469.2158183
2035,473.9918073
2036,478.9020642
2037,483.9456502
2038,489.1230378
2039,494.4341176
2040,499.8821112
2041,505.4680575
2042,511.1984774
2043,517.0822172
2044,523.1172135
2045,529.306704
2046,535.6489793
2047,542.1544156
2048,548.8108861
2049,555.6295092
2050,562.6102518
2051,569.7529981
2052,577.0758916
2053,584.5961901
2054,592.3152873
2055,600.2310777
2056,608.3476253
2057,616.6627241
2058,625.1815207
2059,633.8981589
2060,642.8235901
2061,651.9456995
2062,661.2782924
2063,670.8123044
2064,680.5473119
2065,690.4934645
2066,700.6490903
2067,711.0119325
2068,721.5961651
2069,732.3841808
2070,743.3927495
2071,754.6162878
2072,766.040282
2073,777.6411127
2074,789.4271005
2075,801.3985489
2076,813.5471553
2077,825.8872107
2078,838.4184149
2079,851.1341145
2080,864.0531325
2081,877.1592345
2082,890.3826238
2083,903.6507227
2084,916.9693354
2085,930.3457673
2086,943.7607165
2087,957.2385014
2088,970.7615678
2089,984.3455187
2090,997.9875581
2091,1011.682959
2092,1025.402109
2093,1039.111591
2094,1052.813065
2095,1066.513968
2096,1080.199694
2097,1093.872585
2098,1107.556089
2099,1121.212184
2100,1134.873182
