year,pco2 (ppm)
0,284.317
1849,284.317
1850,284.3095148
1851,284.4435947
1852,284.5905819
1853,284.7235372
1854,284.8384916
1855,284.9334627
1856,285.0415379
1857,285.1966254
1858,285.3616215
1859,285.5376557
1860,285.731684
1861,285.9256523
1862,286.0926054
1863,286.2636309
1864,286.4346352
1865,286.6066176
1866,286.7736168
1867,286.9476341
1868,287.0975396
1869,287.2175091
1870,287.3475475
1871,287.4865689
1872,287.656628
1873,287.8526376
1874,288.0536666
1875,288.2837373
1876,288.5126913
1877,288.7446827
1878,288.9856424
1879,289.2135924
1880,289.4626595
1881,289.7296732
1882,290.0116733
1883,290.2555636
1884,290.5046689
1885,290.7897317
1886,291.0927566
1887,291.4068136
1888,291.7558937
1889,292.1058214
1890,292.4508394
1891,292.8088544
1892,293.1598369
1893,293.4698038
1894,293.7838673
1895,294.0717661
1896,294.3578291
1897,294.6387708
1898,294.9469223
1899,295.2929407
1900,295.6679518
1901,295.9997755
1902,296.3178889
1903,296.6467781
1904,296.9468784
1905,297.2818986
1906,297.6550625
1907,298.0911063
1908,298.5110301
1909,298.9291109
1910,299.3701204
1911,299.82224
1912,300.3464472
1913,300.9033864
1914,301.4122886
1915,301.9303804
1916,302.4783752
1917,303.0043345
1918,303.4419483
1919,303.8070814
1920,304.2389705
1921,304.5929013
1922,304.937758
1923,305.2638699
1924,305.6226701
1925,305.8052167
1926,305.9463887
1927,306.1693057
1928,306.3212258
1929,306.4871927
1930,306.6121809
1931,306.8143888
1932,307.0853828
1933,307.394579
1934,307.7775354
1935,308.220044
1936,309.0056002
1937,309.7570216
1938,310.2867711
1939,310.8437946
1940,311.3496093
1941,311.8034499
1942,312.1641919
1943,312.3817439
1944,312.4043585
1945,312.3763268
1946,312.3815242
1947,312.4775492
1948,312.5124221
1949,312.6237044
1950,312.812737
1951,313.0058335
1952,313.3341439
1953,313.7221201
1954,314.0870409
1955,314.4069638
1956,314.6899399
1957,314.9840317
1958,315.3371065
1959,315.7997065
1960,316.6181419
1961,317.29171
1962,318.0368646
1963,318.6425931
1964,319.3255659
1965,319.8086735
1966,320.8735779
1967,321.4723328
1968,322.3824626
1969,323.2445196
1970,324.7772632
1971,325.3923418
1972,327.3463552
1973,329.9043849
1974,330.7473413
1975,330.8185386
1976,331.5388704
1977,333.3485281
1978,335.0041725
1979,336.6000633
1980,338.7004963
1981,340.0515479
1982,340.6365576
1983,342.2613959
1984,344.0023165
1985,345.4534746
1986,346.8973078
1987,348.7709482
1988,351.2721878
1989,352.8869064
1990,354.0660943
1991,355.3461373
1992,356.2208541
1993,356.9168622
1994,358.2478223
1995,360.232868
1996,361.9979888
1997,363.2444177
1998,365.9298333
1999,367.8357002
2000,369.1173026
2001,370.6657536
2002,372.8296673
2003,375.405474
2004,376.9793699
2005,378.9010325
2006,381.0032878
2007,382.5956689
2008,384.7328534
2009,386.2717906
2010,388.7125179
2011,390.9364121
2012,393.0098749
2013,395.719788
2014,397.5382362
2015,399.9442229
2016,403.1112806
2017,405.7881875
2018,408.7546082
2019,411.7845933
2020,414.8856778
2021,418.0597535
2022,421.329903
2023,424.7160567
2024,428.2152062
2025,431.8253538
2026,435.5454878
2027,439.373619
2028,443.3107574
2029,447.3568864
2030,451.5110197
2031,455.7751607
2032,460.1603345
2033,464.6785165
2034,469.32769
2035,474.1088601
2036,479.0220413
2037,484.0692177
2038,489.2493931
2039,494.5645779
2040,500.0167568
2041,505.6059459
2042,511.340152
2043,517.2263692
2044,523.2655927
2045,529.4588024
2046,535.8080396
2047,542.3132431
2048,548.9764764
2049,555.7997136
2050,562.7839478
2051,569.9301865
2052,577.2584799
2053,584.7848056
2054,592.5081015
2055,600.4304193
2056,608.5517235
2057,616.8720417
2058,625.3933621
2059,634.1166663
2060,643.044005
2061,652.1753326
2062,661.5106648
2063,671.0489706
2064,680.7933124
2065,690.7436343
2066,700.9039833
2067,711.2743214
2068,721.8566798
2069,732.6540347
2070,743.6683866
2071,754.8997539
2072,766.3300402
2073,777.9373134
2074,789.7266252
2075,801.6989081
2076,813.8562171
2077,826.2015234
2078,838.7358449
2079,851.4611492
2080,864.3784827
2081,877.4897749
2082,890.7188408
2083,903.990823
2084,917.3108694
2085,930.6808761
2086,944.10192
2087,957.5769576
2088,971.1059972
2089,984.6910452
2090,998.3310893
2091,1012.03014
2092,1025.750049
2093,1039.459963
2094,1053.159907
2095,1066.859834
2096,1080.539695
2097,1094.2197
2098,1107.899585
2099,1121.559509
2100,1135.219471
